storetype,id,lat,lon,year
high_end_liq,026004,37.721561,-122.437166,2010
high_end_groc,026004,37.720813,-122.435576,2010
low_end_liq,011700,37.789622,-122.407011,2010
low_end_groc,010700,37.796806,-122.407678,2010
low_end_groc,011300,37.79413,-122.407926,2010
low_end_liq,032901,37.742431,-122.489792,2010
low_end_groc,061100,37.7943,-122.406032,2010
low_end_groc,012000,37.787786,-122.41989,2010
groc,010700,37.798495,-122.409504,2010
groc,011300,37.796405,-122.408387,2010
groc,011300,37.79531,-122.409838,2010
low_end_groc,025500,37.725542,-122.434162,2010
high_end_liq,061200,37.735633,-122.390493,2010
low_end_groc,012202,37.785855,-122.419735,2010
high_end_liq,026200,37.709547,-122.45051,2010
low_end_liq,026200,37.71262,-122.444755,2010
high_end_groc,016300,37.774413,-122.427359,2010
low_end_liq,035400,37.735472,-122.501747,2010
high_end_groc,016600,37.769917,-122.447559,2010
high_end_liq,035300,37.738221,-122.500629,2010
high_end_liq,035201,37.753001,-122.504593,2010
groc,017601,37.781901,-122.409882,2010
high_end_groc,011100,37.789191,-122.422175,2010
high_end_liq,011700,37.789497,-122.406359,2010
low_end_groc,022702,37.759966,-122.397425,2010
low_end_groc,020100,37.765075,-122.41913999999998,2010
low_end_groc,010700,37.798542,-122.410526,2010
high_end_groc,016700,37.771248,-122.437211,2010
high_end_liq,022600,37.757813,-122.390199,2010
low_end_groc,032601,37.763429,-122.480548,2010
low_end_groc,020800,37.756368,-122.418836,2010
low_end_groc,010700,37.797411,-122.408584,2010
high_end_groc,020900,37.752108,-122.420662,2010
high_end_liq,017601,37.783419,-122.407362,2010
high_end_groc,010700,37.798534,-122.409179,2010
high_end_groc,012800,37.797849,-122.445828,2010
low_end_groc,010600,37.800425,-122.407551,2010
low_end_liq,025701,37.732316,-122.406009,2010
groc,010700,37.79721,-122.408545,2010
low_end_groc,040200,37.782846,-122.466843,2010
low_end_groc,040200,37.782838,-122.467022,2010
high_end_groc,022903,37.752872,-122.408008,2010
high_end_liq,015400,37.78671,-122.450797,2010
low_end_groc,035300,37.738366,-122.497285,2010
high_end_groc,015802,37.777376,-122.441675,2010
low_end_liq,012401,37.783728,-122.414256,2010
low_end_groc,017102,37.764387,-122.452537,2010
low_end_groc,025500,37.725244,-122.43438700000002,2010
high_end_liq,012800,37.799143,-122.435915,2010
high_end_liq,021400,37.751421,-122.432096,2010
high_end_liq,012302,37.78767,-122.413236,2010
high_end_groc,010700,37.797405,-122.408583,2010
high_end_groc,010200,37.806568,-122.42138,2010
groc,061200,37.734597,-122.390848,2010
low_end_groc,011800,37.793762,-122.404666,2010
high_end_groc,015200,37.786533,-122.42986,2010
low_end_groc,025401,37.737286,-122.424046,2010
high_end_groc,047901,37.772309,-122.509972,2010
high_end_groc,015900,37.782557,-122.430887,2010
high_end_groc,017700,37.765632,-122.410113,2010
high_end_groc,020300,37.768701,-122.427535,2010
low_end_groc,020900,37.751493,-122.418372,2010
low_end_groc,020800,37.760119,-122.418101,2010
high_end_groc,010700,37.796549,-122.409696,2010
low_end_groc,031201,37.721824,-122.461721,2010
liq,011700,37.791412,-122.400806,2010
low_end_groc,015802,37.777427,-122.438343,2010
high_end_liq,030400,37.743126,-122.474143,2010
high_end_liq,018000,37.77785,-122.395932,2010
high_end_groc,016400,37.776806,-122.43822,2010
high_end_groc,012501,37.78429600000001,-122.409797,2010
high_end_liq,022903,37.749604,-122.408824,2010
low_end_groc,012202,37.784584,-122.417802,2010
low_end_groc,010700,37.796602,-122.410102,2010
high_end_groc,010900,37.79649600000001,-122.421901,2010
groc,010900,37.79649600000001,-122.421901,2010
high_end_groc,012302,37.787595,-122.413828,2010
high_end_liq,017601,37.781204,-122.411608,2010
low_end_groc,015900,37.78385,-122.432824,2010
high_end_groc,013400,37.788125,-122.44216000000002,2010
low_end_groc,035400,37.741879,-122.502307,2010
low_end_groc,025702,37.727774,-122.403664,2010
liq,060700,37.769163,-122.403954,2010
high_end_groc,010800,37.795878,-122.415012,2010
high_end_liq,042700,37.782011,-122.48488,2010
liq,023200,37.729301,-122.389323,2010
high_end_groc,061500,37.792119,-122.397791,2010
high_end_groc,012902,37.798437,-122.43241299999998,2010
high_end_liq,012800,37.800065,-122.43778799999998,2010
high_end_groc,015500,37.785551,-122.430082,2010
low_end_groc,030101,37.766367,-122.452974,2010
high_end_groc,011902,37.789953,-122.410439,2010
high_end_groc,013000,37.799043,-122.427627,2010
high_end_liq,016600,37.770457,-122.443395,2010
low_end_groc,015500,37.784074,-122.441566,2010
high_end_groc,012402,37.780837,-122.414388,2010
liq,010500,37.794664,-122.399656,2010
high_end_groc,025702,37.730572,-122.404819,2010
high_end_groc,010900,37.798983,-122.419025,2010
groc,017601,37.780031,-122.407546,2010
low_end_groc,012000,37.788386,-122.415251,2010
liq,026302,37.71347100000001,-122.436518,2010
low_end_groc,012401,37.783543,-122.415719,2010
low_end_liq,031201,37.724383,-122.458562,2010
high_end_groc,018000,37.780951,-122.395401,2010
high_end_liq,013300,37.788223,-122.446641,2010
high_end_liq,042601,37.780397,-122.479611,2010
low_end_groc,016900,37.767722,-122.429253,2010
low_end_groc,011901,37.79047,-122.413931,2010
high_end_groc,010600,37.799874,-122.40744,2010
low_end_groc,012401,37.782802,-122.41406,2010
high_end_groc,025100,37.747453,-122.409841,2010
high_end_groc,010700,37.797747,-122.40764,2010
high_end_groc,026301,37.71514000000001,-122.442068,2010
high_end_groc,030800,37.739975,-122.466636,2010
high_end_groc,011100,37.790724,-122.419512,2010
low_end_groc,031201,37.721851,-122.454959,2010
high_end_groc,010400,37.802869,-122.413892,2010
high_end_groc,012302,37.786554,-122.414555,2010
high_end_liq,026100,37.714584,-122.44266,2010
low_end_groc,016700,37.771715,-122.433505,2010
low_end_liq,016600,37.769507,-122.450707,2010
low_end_groc,025600,37.729023,-122.419712,2010
high_end_groc,021800,37.739617,-122.425609,2010
high_end_groc,061500,37.781638,-122.396218,2010
low_end_groc,012301,37.784674,-122.414365,2010
high_end_liq,020600,37.759762,-122.434886,2010
high_end_liq,025200,37.738985,-122.415664,2010
high_end_groc,016801,37.772076,-122.430706,2010
high_end_groc,023001,37.736492,-122.398432,2010
low_end_groc,030202,37.760307,-122.46635,2010
low_end_groc,011300,37.796017,-122.40831,2010
low_end_groc,040200,37.782918,-122.465329,2010
high_end_liq,012302,37.787159,-122.40982,2010
low_end_groc,020100,37.765016,-122.420155,2010
low_end_groc,017601,37.776223,-122.41472,2010
high_end_groc,011300,37.795745,-122.408866,2010
high_end_liq,030900,37.729637,-122.46866,2010
high_end_groc,026002,37.720962,-122.426812,2010
high_end_liq,040200,37.784973,-122.46473,2010
high_end_groc,021800,37.734096,-122.43399,2010
